alimid,alidate,alitype,alidecription
869332455990001,2020/4/7,套现,套现风险（套现风险极高）
869690004110003,2020/4/7,色情,色情风险（关闭支付权限）
869301010010046,2020/4/7,套现,套现风险（套现风险极高）
869651003010017,2020/4/7,赌博,赌博风险（关闭支付权限）
869161010010021,2020/4/7,欺诈,欺诈风险（关闭支付权限）
869508105030001,2020/4/7,套现,套现风险（套现风险极高）
869348252110001,2020/4/6,欺诈,欺诈风险（关闭支付权限）
869301001030007,2020/4/6,套现,套现风险（套现风险极高）
869508104220001,2020/4/6,套现,套现风险（套现风险极高）
869290001030075,2020/4/6,套现,套现风险（套现风险极高）
869332001030007,2020/4/6,欺诈,欺诈风险（关闭支付权限）
869651005010001,2020/4/5,套现,套现风险（套现风险极高）
869302008030001,2020/4/5,套现,套现风险（套现风险极高）
869671007050001,2020/4/4,赌博,赌博风险（关闭支付权限）
869318010010008,2020/4/4,欺诈,欺诈风险（关闭支付权限）
869651001040006,2020/4/3,赌博,赌博风险（关闭支付权限）
869191010010003,2020/4/3,欺诈,欺诈风险（关闭支付权限）
869290010070005,2020/4/3,套现,套现风险（套现风险极高）
869290004190019,2020/4/3,套现,套现风险（套现风险极高）
869521004050005,2020/4/2,赌博,赌博风险（关闭支付权限）
869290004220042,2020/4/2,套现,套现风险（套现风险极高）
869290575380005,2020/4/2,套现,套现风险（套现风险极高）
869303004050001,2020/4/2,套现,套现风险（套现风险极高）
869304010010016,2020/4/2,套现,套现风险（套现风险极高）
869791004010002,2020/4/1,套现,套现风险（套现风险极高）
869301002020006,2020/4/1,套现,套现风险（套现风险极高）
869332754990001,2020/3/31,套现,套现风险（套现风险极高）
869393009050001,2020/3/31,套现,套现风险（套现风险极高）
869290001040009,2020/3/30,套现,套现风险（套现风险极高）
869501210010001,2020/3/30,套现,套现风险（套现风险极高）
869302002040001,2020/3/30,套现,套现风险（套现风险极高）
869332775310001,2020/3/30,套现,套现风险（套现风险极高）
869304010010012,2020/3/30,套现,套现风险（套现风险极高）
869191910990041,2020/3/30,套现,套现风险（套现风险极高）
869651003010007,2020/3/30,赌博,赌博风险（关闭支付权限）
869527004010001,2020/3/30,套现,套现风险（套现风险极高）
869305002040001,2020/3/30,欺诈,欺诈风险（关闭支付权限）
869451704220001,2020/3/30,套现,套现风险（套现风险极高）
869521010040002,2020/3/29,套现,套现风险（套现风险极高）
869391010010025,2020/3/29,欺诈,欺诈风险（关闭支付权限）
869393010070002,2020/3/29,欺诈,欺诈风险（关闭支付权限）
869391010040002,2020/3/29,欺诈,欺诈风险（关闭支付权限）
869397010070002,2020/3/29,欺诈,欺诈风险（关闭支付权限）
869397010070007,2020/3/29,欺诈,欺诈风险（关闭支付权限）
869290001030038,2020/3/15,赌博,赌博风险（关闭支付权限）
869291604220003,2020/3/24,赌博,赌博风险（关闭支付权限）
869394010010014,2020/3/29,赌博,赌博风险（关闭支付权限）
869397010070003,2020/3/29,欺诈,欺诈风险（关闭支付权限）
869397010010041,2020/3/29,欺诈,欺诈风险（关闭支付权限）
869393004220023,2020/3/29,欺诈,欺诈风险（关闭支付权限）
869397010070005,2020/3/29,欺诈,欺诈风险（关闭支付权限）
869397010990002,2020/3/29,欺诈,欺诈风险（关闭支付权限）
869393010010031,2020/3/29,赌博,赌博风险（关闭支付权限）
869103301030003,2020/3/28,套现,套现风险（套现风险极高）
869261010010006,2020/3/28,套现,套现风险（套现风险极高）
869261010050001,2020/3/27,赌博,赌博风险（关闭支付权限）
869302010050004,2020/3/27,套现,套现风险（套现风险极高）
869397010010047,2020/3/27,赌博,赌博风险（关闭支付权限）
869397010070001,2020/3/27,欺诈,欺诈风险（关闭支付权限）
869397010010048,2020/3/29,赌博,赌博风险（关闭支付权限）
869663004200001,2020/3/26,套现,套现风险（套现风险极高）
869100004220055,2020/3/26,套现,套现风险（套现风险极高）
869496001030005,2020/3/25,套现,套现风险（套现风险极高，且有投诉）
869206110050004,2020/3/25,套现,套现风险（套现风险极高）
869100005030001,2020/3/24,套现,套现风险（套现风险极高）
869506004010001,2020/3/23,套现,套现风险（套现风险极高）
869302010050001,2020/3/23,套现,套现风险（套现风险极高）
869399006010002,2020/3/23,赌博,赌博风险（关闭支付权限）
869304004220011,2020/3/23,套现,套现风险（套现风险极高）
869535006020002,2020/3/23,套现,套现风险（套现风险极高）
869665001030002,2020/3/23,套现,套现风险（套现风险极高）
869451010010018,2020/3/23,套现,套现风险（套现风险极高）
869290008080003,2020/3/23,套现,套现风险（套现风险极高）
869497010010003,2020/3/23,套现,套现风险（套现风险极高）
869466001030002,2020/3/23,套现,套现风险（套现风险极高）
869498009030001,2020/3/23,套现,套现风险（套现风险极高）
869261010010019,2020/3/23,套现,套现风险（套现风险极高）
869303001030005,2020/3/23,套现,套现风险（套现风险极高）
869100002030004,2020/3/23,套现,套现风险（套现风险极高）
869397006050001,2020/3/23,套现,套现风险（套现风险极高）
869397004140001,2020/3/22,赌博,赌博风险（关闭支付权限）
869100002010017,2020/3/22,套现,套现风险（套现风险极高）
869290172300001,2020/3/22,套现,套现风险（套现风险极高）
869161004190001,2020/3/22,套现,套现风险（套现风险极高）
869100005040001,2020/3/21,套现,套现风险（套现风险极高）
869178104100001,2020/3/21,赌博,赌博风险（关闭支付权限）
869452010050010,2020/3/21,套现,套现风险（套现风险极高）
869241801010001,2020/3/21,套现,套现风险（套现风险极高）
869100001030018,2020/3/20,套现,套现风险（套现风险极高）
869534148120001,2020/3/20,套现,套现风险（套现风险极高）
869181010010016,2020/3/19,赌博,赌博风险（关闭支付权限）
869399010010016,2020/3/19,赌博,赌博风险（关闭支付权限）
869690004220024,2020/3/19,套现,套现风险（套现风险极高）
869391004220025,2020/3/19,套现,套现风险（套现风险极高）
869304008010001,2020/3/19,套现,套现风险（套现风险极高）
869100001030045,2020/3/19,套现,套现风险（套现风险极高）
869690004220006,2020/3/19,赌博,赌博风险（关闭支付权限）
869521010010025,2020/3/19,套现,套现风险（套现风险极高）
869290252110058,2020/3/19,套现,套现风险（套现风险极高）
869521004190006,2020/3/18,套现,套现风险（套现风险极高）
869397010070004,2020/3/29,赌博,赌博风险（关闭支付权限）
869476110010001,2020/4/6,套现,套现风险（套现风险极高）
869290372980004,2020/3/18,套现,套现风险（套现风险极高）
869110010010011,2020/3/18,套现,套现风险（套现风险极高）
869492010010009,2020/3/16,套现,套现风险（套现风险极高）
869110001030014,2020/3/16,色情,色情风险（关闭支付权限）
869451005050001,2020/3/15,色情,色情风险（关闭支付权限）
869290179970003,2020/3/15,套现,套现风险（套现风险极高）
869651010050006,2020/3/15,套现,套现风险（套现风险极高）
869242003040001,2020/3/15,赌博,赌博风险（关闭支付权限）
869471009070002,2020/3/15,套现,套现风险（套现风险极高）
869461004190002,2020/3/15,套现,套现风险（套现风险极高）
869290789110001,2020/3/14,套现,套现风险（套现风险极高）
869290857120003,2020/3/14,套现,套现风险（套现风险极高）
869521010010020,2020/3/14,套现,套现风险（套现风险极高）
869100002050002,2020/3/14,色情,色情风险（关闭支付权限）
869541010010004,2020/3/13,套现,套现风险（套现风险极高）
869503010010005,2020/3/12,赌博,赌博风险（关闭支付权限）
869537010010011,2020/3/11,色情,色情风险（关闭支付权限）
869100004010007,2020/3/11,赌博,赌博风险（关闭支付权限）
869521004190008,2020/3/11,欺诈,欺诈风险（关闭支付权限）
869532004220002,2020/3/10,套现,套现风险（套现风险极高）
869393010050002,2020/3/10,套现,套现风险（套现风险极高）
869181011010001,2020/3/10,赌博,赌博风险（关闭支付权限）
869791004220026,2020/3/10,赌博,赌博风险（关闭支付权限）
869332789120001,2020/3/10,套现,套现风险（套现风险极高）
869657002020001,2020/3/9,套现,套现风险（套现风险极高）
869290465130010,2020/3/9,套现,套现风险（套现风险极高）
869795010010005,2020/3/9,套现,套现风险（套现风险极高）
869651010010011,2020/3/9,套现,套现风险（套现风险极高，且有投诉）
869391010010006,2020/3/9,赌博,赌博风险（关闭支付权限）
869513010010003,2020/3/9,套现,套现风险（套现风险极高）
869651001030009,2020/3/8,赌博,赌博风险（关闭支付权限）
869676107010001,2020/3/8,套现,套现风险（套现风险极高）
869403001020001,2020/3/7,赌博,赌博风险（关闭支付权限）
869194010010003,2020/3/7,欺诈,欺诈风险（关闭支付权限）
869290557120007,2020/3/7,色情,色情风险（关闭支付权限）
869332456510003,2020/3/5,套现,套现风险（套现风险极高）
869332759930001,2020/3/5,套现,套现风险（套现风险极高）
869397005040002,2020/3/5,套现,套现风险（套现风险极高）
869291752110015,2020/3/5,套现,套现风险（套现风险极高）
869290005020006,2020/3/4,套现,套现风险（套现风险极高）
869397007020001,2020/3/4,套现,套现风险（套现风险极高）
869791002010007,2020/3/4,套现,套现风险（套现风险极高）
869491002010008,2020/3/4,赌博,赌博风险（关闭支付权限）
869397010010025,2020/3/3,赌博,赌博风险（关闭支付权限）
869290550510001,2020/3/3,欺诈,欺诈风险（关闭支付权限）
869405002010003,2020/3/2,欺诈,欺诈风险（关闭支付权限）
869397004060002,2020/3/2,欺诈,欺诈风险（关闭支付权限）
869305004190004,2020/3/2,套现,套现风险（套现风险极高）
869511010050003,2020/3/2,欺诈,欺诈风险（关闭支付权限）
869456005020002,2020/3/2,欺诈,欺诈风险（关闭支付权限）
869100002040008,2020/3/2,欺诈,欺诈风险（关闭支付权限）
869521010010015,2020/3/2,欺诈,欺诈风险（关闭支付权限）
869403003010002,2020/3/2,欺诈,欺诈风险（关闭支付权限）
869316010010003,2020/3/2,欺诈,欺诈风险（关闭支付权限）
869290465130016,2020/3/1,套现,套现风险（套现风险极高）
869791010010021,2020/3/1,欺诈,欺诈风险（关闭支付权限）
869290004220030,2020/3/1,欺诈,欺诈风险（关闭支付权限）
869690004190007,2020/3/1,欺诈,欺诈风险（关闭支付权限）
869290005020004,2020/3/1,套现,套现风险（套现风险极高）
869458504220001,2020/2/29,欺诈,欺诈风险（关闭支付权限）
869451004220014,2020/2/29,欺诈,欺诈风险（关闭支付权限）
869177104220001,2020/2/29,套现,套现风险（套现风险极高）
869397003010002,2020/2/29,欺诈,欺诈风险（关闭支付权限）
869527004190001,2020/2/29,套现,套现风险（套现风险极高）
869491002020003,2020/2/29,欺诈,欺诈风险（关闭支付权限）
869397010010022,2020/2/28,套现,套现风险（套现风险极高）
869399010010010,2020/2/28,欺诈,欺诈风险（关闭支付权限）
869521001030012,2020/2/28,套现,套现风险（套现风险极高）
869332353310007,2020/2/28,套现,套现风险（套现风险极高）
869110004050001,2020/2/28,套现,套现风险（套现风险极高）
869513011030001,2020/2/28,欺诈,欺诈风险（关闭支付权限）
869498001030001,2020/2/28,欺诈,欺诈风险（关闭支付权限）
869496010070001,2020/2/28,欺诈,欺诈风险（关闭支付权限）
869196002030001,2020/2/28,套现,套现风险（套现风险极高）
869395002020001,2020/2/28,欺诈,欺诈风险（关闭支付权限）
869491004220036,2020/2/27,欺诈,欺诈风险（关闭支付权限）
869533005050001,2020/2/27,套现,套现风险（套现风险极高）
869100004190007,2020/2/27,欺诈,欺诈风险（关闭支付权限）
869397001030006,2020/2/27,欺诈,欺诈风险（关闭支付权限）
869533004220011,2020/2/27,欺诈,欺诈风险（关闭支付权限）
869306002040001,2020/2/27,欺诈,欺诈风险（关闭支付权限）
869521006010001,2020/2/27,套现,套现风险（套现风险极高）
869541010010002,2020/2/26,套现,套现风险（套现风险极高）
869541011020001,2020/2/26,欺诈,欺诈风险（关闭支付权限）
869661510050001,2020/2/26,套现,套现风险（套现风险极高）
869801004220004,2020/2/26,套现,套现风险（套现风险极高）
869690001010001,2020/2/26,欺诈,欺诈风险（关闭支付权限）
869311002050003,2020/2/26,套现,套现风险（套现风险极高）
869541001030003,2020/2/26,欺诈,欺诈风险（关闭支付权限）
869305010010026,2020/2/26,套现,套现风险（套现风险极高）
869290001030033,2020/2/26,欺诈,欺诈风险（关闭支付权限）
869511004190004,2020/2/26,欺诈,欺诈风险（关闭支付权限）
869100001030038,2020/2/25,欺诈,欺诈风险（关闭支付权限）
869399004220007,2020/2/25,欺诈,欺诈风险（关闭支付权限）
869397004220004,2020/2/25,赌博,赌博风险（关闭支付权限）
869803003010001,2020/2/25,套现,套现风险（套现风险极高）
869673002010001,2020/3/18,欺诈,欺诈风险（关闭支付权限）
869318010050002,2020/2/25,套现,套现风险（套现风险极高）
869515002010002,2020/2/23,套现,套现风险（套现风险极高）
869675407020001,2020/2/23,欺诈,欺诈风险（关闭支付权限）
869532310010001,2020/2/22,套现,套现风险（套现风险极高）
869473602050001,2020/2/22,赌博,赌博风险（关闭支付权限）
869473610010001,2020/2/22,套现,套现风险（套现风险极高）
869513104140001,2020/2/20,赌博,赌博风险（关闭支付权限）
869113604190001,2020/2/19,赌博,赌博风险（关闭支付权限）
869103310010001,2020/2/9,赌博,赌博风险（关闭支付权限）
869477201030001,2020/2/9,套现,套现风险（套现风险极高）
869191853310048,2020/2/9,套现,套现风险（套现风险极高）
869391902020001,2020/2/9,套现,套现风险（套现风险极高）
869348259430002,2020/2/8,套现,套现风险（套现风险极高）
869290889120002,2020/2/8,套现,套现风险（套现风险极高）
869291165130001,2020/2/3,套现,套现风险（套现风险极高）
869332382990002,2020/1/31,套现,套现风险（套现风险极高）
869102602020002,2020/1/31,套现,套现风险（套现风险极高）
869290182990004,2020/1/31,套现,套现风险（套现风险极高）
869332750940003,2020/1/28,套现,套现风险（套现风险极高）
869348152510003,2020/1/22,套现,套现风险（套现风险极高）
869290373920003,2020/1/20,套现,套现风险（套现风险极高）
869332755320001,2020/1/17,套现,套现风险（套现风险极高）
869290252110037,2020/1/17,套现,套现风险（套现风险极高）
869291765130001,2020/1/14,套现,套现风险（套现风险极高）
869191610990028,2020/1/9,套现,套现风险（套现风险极高）
869332972980002,2020/1/7,套现,套现风险（套现风险极高）
869290547220002,2020/1/7,套现,套现风险（套现风险极高）
869290982990005,2020/1/6,套现,套现风险（套现风险极高）
869290654990005,2020/1/5,套现,套现风险（套现风险极高）
869290159210004,2020/1/5,套现,套现风险（套现风险极高）
869290352110011,2020/1/3,套现,套现风险（套现风险极高）
