merchantid,merchantname
869651003010017,成都市哇哈哈水果新鲜水果
869100004010007,北京城区润洁美容
869451005050001,济南市叁号院居酒屋酒吧
869261010050001,哈尔滨市小可爱电子产品
869661510050001,广元市新新电子产品
869533004220011,黄冈市彤彤便利店
869803003010001,商洛市个体户陈立立新鲜水果
869456005020002,烟台市迪丽斯西餐厅咖啡
869451704220001,济南市南辛庄西路99号便利店
869100001030045,北京城区个体户张孝伟快餐
869103301030003,北京城区熊家快餐
869318010010008,宿迁市个体户于朋杂货店
869535006020002,孝感市个体户李超雄鞋品
869651001030009,成都市汇金源食府快餐
869110001030014,天津哈克都餐饮
869290352110011,上海高尤建材销售中心
869332775310001,宁波众捷汽车服务有限公司
869397004060002,泉州市个体户尹正祥汽车美容
869521010010020,武汉市点点关爱零售
869290004220042,上海城区飞牛精品超市便利店
869290557120007,上海市金山区晨换家居经营部
869471009070002,聊城市卓越技能培训
869332455990001,余姚吉云机械
869290857120003,上海宜山路镇翰诺威建材经营部
869534148120001,小米黄冈万达广场专卖店
869397003010002,泉州市百果水果超市新鲜水果
869690004190007,重庆城区喜来大饭店旅馆
869102602020002,北京个体户熊左金火锅
869290465130016,上海万街商业经营管理有限公司
869498009030001,新乡市个体户周贺松外语培训
869242003040001,吉林市地利生鲜海鲜水产
869533005050001,黄冈市老乡小馆酒吧
869527004010001,随州市全芳美容
869395002020001,三明市牛一桌宁化店火锅
869261010010019,哈尔滨市新天地超市
869301010010046,南京市好又多便利店
869521004190006,武汉市纽宾凯宴会中心旅馆
869399010010016,漳州市天娱电脑店零售
869461004190002,济宁市新街坊酒店旅馆
869791004220026,西安市良友便利店
869290001030033,上海城区沙县小吃快餐
869290789110001,上海迷你蘑菇克劳德建筑设计中心
869451010010018,济南市南辛庄西路彩票站零售
869100002050002,北京城区平价活海鲜
869113604190001,天津城区水沐阳光美宿旅馆
869311002050003,盐城市希尔顿海鲜
869332789120001,宁波青水设计
869332456510003,余姚金秋百货
869290575380005,上海市金山区车洋汽车装潢店
869302010050001,无锡市胜宏电脑电子产品
869508105030001,周口市川汇区Mousse甜品店
869665001030002,乐山市卡大碗快餐
869290001030038,上海城区个体户徐加勇快餐
869290004190019,上海城区宏轩连锁酒店旅馆
869304004220011,常州市个体户李晓春便利店
869511004190004,驻马店市唐朝旅馆
869194010010003,赤峰市个体户赵志国零售
869304010010012,常州市个体户刘晓刚零售
869332972980002,宁波市江北魅利雅美发店
869100005030001,北京城区个体户闻昊甜品店
869100001030038,北京城区驴肉火烧快餐
869498001030001,新乡市老鸿兴汤包馆快餐
869452010050010,青岛市溯珞科技电子产品
869405002010003,龙岩市客家情饭店快餐
869290001030075,上海城区田之缘农快餐
869477201030001,日照市故城路龙门饭店快餐
869161004190001,太原市皇冠假日酒店旅馆
869332754990001,宁波海曙郭卫芬水果店
869290005020006,上海城区楊の小店咖啡厅
869663004200001,内江市个体户杨强保险
869302008030001,无锡市铁木坊健身会所
869290465130010,上海周昌投资管理有限公司
869290159210004,上海福春酒业有限公司
869290010070005,上海城区致银烟草
869100004220055,北京城区茂盛酒城便利店
869527004190001,随州市东怡宾馆旅馆
869476110010001,菏泽市村头超市零售
869305002040001,苏州市胥门烧烤烤肉
869791002010007,西安市老王快餐
869305004190004,苏州市子荣小旅馆
869306002040001,南通市个体户戴星星烤肉
869100001030018,北京城区汇轩蒸汽海鲜坊快餐
869521004050005,武汉市古之云网络武汉市古之云网络维修
869403003010002,宁德市鑫鑫新鲜水果
869393009050001,厦门市个体户彭少震学习辅导
869191853310048,呼市赛罕区丰州路原生果态生活超市
869290172300001,上海涵乙美发有限公司
869332750940003,芒果奢侈品之家宁波和义店
869521010040002,武汉市个体户代博建材
869332755320001,宁波市海曙轮驰轮胎经营部
869513104140001,南阳市黄台岗镇申通快递
869290252110037,上海卉造装饰公司(建材）
869290179970003,上海沃吉健康咨询有限公司
869290372980004,上海市奉贤区茹苑美容店
869290373920003,上海东莅文化发展有限公司
869191610990028,呼市个体户郭瑞清家具店
869397006050001,泉州市安踏体育用品店运动服饰
869506004010001,商丘市雪儿美容养生美容
869521010010025,武汉市精品烟酒行零售
869521006010001,武汉市杨柳青衣服服饰
869651005010001,成都市青茶奶茶
869657002020001,泸州市个体户陈绍燕火锅
869537010010011,荆州市小森的潮鞋店零售
869301001030007,南京市天之煲食府大排档
869651001040006,成都市开心烧烤路边摊
869403001020001,宁德市烧烤快餐
869541010010002,恩施土家族苗族自治州个体户刘让涛零售
869466001030002,滨州市滨州印象酒店快餐
869301002020006,南京市熊猫有空音乐火锅
869290004220030,上海城区个体户豆晖便利店
869397010010041,泉州市途香茶叶零售
869191910990041,呼市个体户郭玉龙玉器店
869671007050001,宜宾市通达游乐城
869304008010001,常州市百姓大药房药店
869397010010022,泉州市畅捷生活馆零售
869541001030003,恩施土家族苗族自治州个体户白丹快餐
869501210010001,焦作市个体户田峰零售
869206110050004,呼市个体户赵月清家电店
869332353310007,鄞州明楼国平食品店
869532004220002,荆门市豪哥便民服务
869196002030001,呼伦贝尔市个体户王成金自助餐
869397004140001,泉州市快乐驿站快递
869541010010004,恩施土家族苗族自治州汇源五金零售
869303004050001,徐州市贴膜维修
869103310010001,北京城区西单商城天通苑购物中心杂货店
869290001040009,上海城区个体户喻冬梅路边摊
869304010010016,常州市亨世通烟酒商行零售
869791004010002,西安市个体户牛新松美容
869651010050006,成都市百奇通讯经营部电子产品
869110010010011,天津城区个体户谷金鹏零售
869521001030012,武汉市好运来小吃店快餐
869391010010006,福州市520甘草水果零售
869191010010003,呼和浩特市辉辉便利店
869100002010017,北京城区杨梓私厨餐厅快餐
869397005040002,泉州市茶颜观色茶馆
869532310010001,荆门市城区王家湾盛世康城零售
869100005040001,北京城区淡水泉茶馆
869100004190007,北京城区昆伯商务酒店旅馆
869181010010016,运城市个体户杨世泽零售
869497010010003,鹤壁市贝贝拉姆母婴店零售
869513011030001,南阳市个体户王海龙电动车维修
869397007020001,泉州市蜗牛网咖
869513010010003,南阳市侯集张书奶粉专卖零售
869503010010005,许昌市个体户杜玉东零售
869541011020001,恩施土家族苗族自治州盈通汽车有限公司汽车租赁
869676107010001,达州市个体户陈金双KTV
869399010010010,漳州市个体户方剑武零售
869791010010021,西安市个体户零售
869795010010005,咸阳市个体户库卫涛杂货店
869801004220004,安康市个体户方先振便民服务
869496001030005,安阳市个体户王本灿快餐
869332759930001,宁波海曙区法诗图洞桥店
869178104100001,临汾市个体户糖宝照相馆
869690004110003,重庆郊县个体户涂春书店
869290550510001,上海聪誉金属制品有限公司
869348252110001,琼升建材装璜经营部
869491002020003,郑州市黑娃火锅
869508104220001,周口市川汇区幸福树便利店
869348152510003,宁波市北仑区新碶互邦五金店
869451004220014,济南市欣源名烟名酒便利店
869492010010009,开封市天天亏损百货店零售
869391902020001,福州市和平古镇火锅
869397010010047,泉州市个体户纪孝辉零售
869290889120002,人众（上海）装饰工程有限公司
869332382990002,宁波悦习教育科技有限公司第一分公司
869261010010006,哈尔滨市一言酒鼎零售
869521004190008,武汉市纽家旅馆
869651010010058,成都市十元商品店
869651003010018,成都市果农新鲜水果
869401004220007,南平市泰洁干洗便利店
869671010010003,宜宾市小五金零售
869522004220006,黄石市个体户石志斌便利店
869100007010004,北京城区麦乐迪KTV
869290010010079,上海市日用杂货店
869690010010052,重庆城区个体户张华零售
869513006010001,南阳市个体户仝兆明衣服服饰
869502610010001,濮阳市云米全屋互联网家电零售
869110004190003,天津城区一城一梦青年之家旅馆
869305002020003,苏州市聚山城火锅
869403004220004,宁德市个体户龚有实便利店
869181010010014,运城市个体户武吉鹏零售
869192003020006,昆都仑区铭晨生肉经销店
869391010010008,福州市海上丝绸之路零售
869291789120003,上海立兆物业管理有限公司
869537004220001,荆州市个体户熊纤纤便利店
869307005030001,连云港市个体户张海翔甜品店
869301004020001,南京市艺梵造型美发
869393010010021,厦门市忠兴茗茶杂货店
869885009060001,昌吉回族自治州个体户聂程驾校
869451004010003,济南市秋子肌肤美容
869332005010001,宁波市颖嫔奶茶
869397004210002,泉州市个体户谢啟发便民缴费
869533002050001,黄冈市逅海海鲜店海鲜
